row_type,sample_id,split_role,sample_count,image_path,mask_path,pred_path,loss,loss_bce,loss_dice,objdice,dice,iou,f1,boundary_f1,hd95,object_hausdorff
sample,GlaS_official_testA_testA_1,testA,1,datasets/01_GlaS_official_raw/testA_1.bmp,datasets/01_GlaS_official_raw/testA_1_anno.bmp,experiments/A1_UNet_GlaS_v1_seed3407/predictions/testA/GlaS_official_testA_testA_1_pred.png,,,,0.04433418558851121,0.14565111184992965,0.07854568942463903,0.14565111184992965,0.5727774584248693,nan,nan
sample,GlaS_official_testA_testA_10,testA,1,datasets/01_GlaS_official_raw/testA_10.bmp,datasets/01_GlaS_official_raw/testA_10_anno.bmp,experiments/A1_UNet_GlaS_v1_seed3407/predictions/testA/GlaS_official_testA_testA_10_pred.png,,,,0.12926947764676255,0.5086822546105593,0.3410958235998869,0.5086822546105593,0.44656298196308897,nan,nan
aggregate,__aggregate__,testA,2,,,,1.1321107149124146,0.6984958648681641,0.4336148798465729,0.08680183161763688,0.32716668323024445,0.20982075651226295,0.32716668323024445,0.5096702201939791,nan,nan
